"Package","Class Name","TCC value"
"org.apache.commons.collections4","OrderedMapIterator","0.0"
"org.apache.commons.collections4","Predicate","0.0"
"org.apache.commons.collections4","PredicateUtils","0.0"
"org.apache.commons.collections4.properties","PropertyFormat","0.0"
"org.apache.commons.collections4.properties","PropertiesFactory","0.0"
"org.apache.commons.collections4.properties","SortedProperties","0.0"
"org.apache.commons.collections4.properties","SortedPropertiesFactory","0.0"
"org.apache.commons.collections4","Put","0.0"
"org.apache.commons.collections4.queue","AbstractQueueDecorator","0.0"
"org.apache.commons.collections4.queue","CircularFifoQueue","0.3790849673202614"
"org.apache.commons.collections4.queue","PredicatedQueue","0.0"
"org.apache.commons.collections4.queue","SynchronizedQueue","0.0"
"org.apache.commons.collections4.queue","TransformedQueue","0.0"
"org.apache.commons.collections4.queue","UnmodifiableQueue","0.0"
"org.apache.commons.collections4","QueueUtils","0.0"
"org.apache.commons.collections4","ResettableIterator","0.0"
"org.apache.commons.collections4","ResettableListIterator","0.0"
"org.apache.commons.collections4.sequence","CommandVisitor","0.0"
"org.apache.commons.collections4.sequence","DeleteCommand","0.0"
"org.apache.commons.collections4.sequence","EditCommand","0.0"
"org.apache.commons.collections4.sequence","EditScript","0.13333333333333333"
"org.apache.commons.collections4.sequence","InsertCommand","0.0"
"org.apache.commons.collections4.sequence","KeepCommand","0.0"
"org.apache.commons.collections4.sequence","ReplacementsFinder","0.6666666666666666"
"org.apache.commons.collections4.sequence","ReplacementsHandler","0.0"
"org.apache.commons.collections4.sequence","SequencesComparator","1.0"
"org.apache.commons.collections4.set","AbstractNavigableSetDecorator","0.0"
"org.apache.commons.collections4.set","AbstractSerializableSetDecorator","0.0"
"org.apache.commons.collections4.set","AbstractSetDecorator","0.0"
"org.apache.commons.collections4.set","AbstractSortedSetDecorator","0.0"
"org.apache.commons.collections4.set","SetMutator","0.0"
"org.apache.commons.collections4.set","ListOrderedSet","0.3473684210526316"
"org.apache.commons.collections4.set","MapBackedSet","0.7843137254901961"
"org.apache.commons.collections4.set","PredicatedNavigableSet","0.0"
"org.apache.commons.collections4.set","PredicatedSet","0.0"
"org.apache.commons.collections4.set","PredicatedSortedSet","0.0"
"org.apache.commons.collections4.set","TransformedNavigableSet","0.0"
"org.apache.commons.collections4.set","TransformedSet","0.0"
"org.apache.commons.collections4.set","TransformedSortedSet","0.0"
"org.apache.commons.collections4.set","UnmodifiableNavigableSet","0.0"
"org.apache.commons.collections4.set","UnmodifiableSet","0.0"
"org.apache.commons.collections4.set","UnmodifiableSortedSet","0.0"
"org.apache.commons.collections4","SetView","0.0"
"org.apache.commons.collections4","SetValuedMap","0.0"
"org.apache.commons.collections4","SortedBag","0.0"
"org.apache.commons.collections4","SortedBidiMap","0.0"
"org.apache.commons.collections4.splitmap","AbstractIterableGetMapDecorator","0.0"
"org.apache.commons.collections4.splitmap","TransformedSplitMap","0.08888888888888889"
"org.apache.commons.collections4","SplitMapUtils","0.0"
"org.apache.commons.collections4","Transformer","0.0"
"org.apache.commons.collections4","TransformerUtils","0.0"
"org.apache.commons.collections4.trie","AbstractBitwiseTrie","0.4166666666666667"
"org.apache.commons.collections4.trie",,
"org.apache.commons.collections4.trie.analyzer","StringKeyAnalyzer","0.6666666666666666"
"org.apache.commons.collections4.trie","KeyAnalyzer","0.0"
"org.apache.commons.collections4.trie","PatriciaTrie","0.0"
"org.apache.commons.collections4.trie","UnmodifiableTrie","0.6461538461538462"
"org.apache.commons.collections4","Trie","0.0"
"org.apache.commons.collections4","TrieUtils","0.0"
"org.apache.commons.collections4","Unmodifiable","0.0"
"org.apache.commons.collections4","AbstractArrayListTest","0.0"
"org.apache.commons.collections4","AbstractLinkedListTest","0.0"
"org.apache.commons.collections4","AbstractObjectTest","0.0"
"org.apache.commons.collections4","AbstractTreeMapTest","0.0"
"org.apache.commons.collections4","ArrayStackTest","0.0"
"org.apache.commons.collections4.bag","TestBagUniqueSet","0.0"
"org.apache.commons.collections4.bag","AbstractSortedBagTest","0.0"
"org.apache.commons.collections4.bag","CollectionBagTest","0.0"
"org.apache.commons.collections4.bag","CollectionSortedBagTest","0.0"
"org.apache.commons.collections4.bag","HashBagTest","0.0"
"org.apache.commons.collections4.bag","PredicatedBagTest","0.0"
"org.apache.commons.collections4.bag","PredicatedSortedBagTest","0.0"
"org.apache.commons.collections4.bag","SynchronizedBagTest","0.0"
"org.apache.commons.collections4.bag","TransformedBagTest","0.0"
"org.apache.commons.collections4.bag","TransformedSortedBagTest","0.0"
"org.apache.commons.collections4.bag","TreeBagTest","0.0"
"org.apache.commons.collections4.bag","UnmodifiableBagTest","0.0"
"org.apache.commons.collections4.bag","UnmodifiableSortedBagTest","0.0"
"org.apache.commons.collections4","BagUtilsTest","0.07142857142857142"
"org.apache.commons.collections4.bidimap","TestBidiMapIterator","0.0"
"org.apache.commons.collections4.bidimap","AbstractOrderedBidiMapDecoratorTest","0.0"
"org.apache.commons.collections4.bidimap","TestBidiOrderedMapIterator","0.0"
"org.apache.commons.collections4.bidimap","AbstractSortedBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","DualHashBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","DualLinkedHashBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","DualTreeBidiMap2Test","0.0"
"org.apache.commons.collections4.bidimap","DualTreeBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","TreeBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","UnmodifiableBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","UnmodifiableOrderedBidiMapTest","0.0"
"org.apache.commons.collections4.bidimap","UnmodifiableSortedBidiMapTest","0.0"
"org.apache.commons.collections4.bloomfilter","AbstractBloomFilterTest","0.4791666666666667"
"org.apache.commons.collections4.bloomfilter","ArrayCountingBloomFilterTest","0.020161290322580645"
"org.apache.commons.collections4.bloomfilter","BitSetBloomFilterTest","0.0"
"org.apache.commons.collections4.bloomfilter","BloomFilterIndexerTest","0.0"
"org.apache.commons.collections4.bloomfilter","DefaultBloomFilterMethodsTest","0.0"
"org.apache.commons.collections4.bloomfilter",,
"org.apache.commons.collections4.bloomfilter.hasher","DynamicHasherBuilderTest","1.0"
"org.apache.commons.collections4.bloomfilter.hasher","DynamicHasherTest","1.0"
"org.apache.commons.collections4.bloomfilter.hasher.function","AbstractHashFunctionTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher.function","MD5CyclicTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher.function","Murmur128x64CyclicTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher.function","Murmur32x86IterativeTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher.function","ObjectsHashIterativeTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher","HasherBuilderTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher","HashFunctionIdentityImplTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher","HashFunctionValidatorTest","0.0"
"org.apache.commons.collections4.bloomfilter.hasher","ShapeTest","0.541501976284585"
"org.apache.commons.collections4.bloomfilter.hasher","StaticHasherTest","1.0"
"org.apache.commons.collections4.bloomfilter","HasherBloomFilterTest","0.0"
"org.apache.commons.collections4.bloomfilter","IndexFilterTest","0.16666666666666666"
"org.apache.commons.collections4.bloomfilter","SetOperationsTest","1.0"
"org.apache.commons.collections4","BulkTest","0.0"
"org.apache.commons.collections4",,
"org.apache.commons.collections4","ClosureUtilsTest","0.0"
"org.apache.commons.collections4.collection","AbstractCollectionTest","0.0017730496453900709"
"org.apache.commons.collections4.collection","CompositeCollectionTest","0.33497536945812806"
"org.apache.commons.collections4.collection","IndexedCollectionTest","0.0"
"org.apache.commons.collections4.collection","PredicatedCollectionBuilderTest","0.0"
"org.apache.commons.collections4.collection","PredicatedCollectionTest","0.022222222222222223"
"org.apache.commons.collections4.collection","SynchronizedCollectionTest","0.0"
"org.apache.commons.collections4.collection","TransformedCollectionTest","0.05555555555555555"
"org.apache.commons.collections4.collection","UnmodifiableBoundedCollectionTest","0.0"
"org.apache.commons.collections4.collection","UnmodifiableCollectionTest","0.0"
"org.apache.commons.collections4","CollectionUtilsTest","0.05885026130424904"
"org.apache.commons.collections4.comparators","AbstractComparatorTest","0.0"
"org.apache.commons.collections4.comparators","TestNullComparator2","0.0"
"org.apache.commons.collections4.comparators","BooleanComparatorTest","0.0"
"org.apache.commons.collections4.comparators","ComparableComparatorTest","0.0"
"org.apache.commons.collections4.comparators","ColumnComparator","1.0"
"org.apache.commons.collections4.comparators","FixedOrderComparatorTest","0.6222222222222222"
"org.apache.commons.collections4.comparators","ReverseComparatorTest","0.0"
"org.apache.commons.collections4.comparators","TransformingComparatorTest","0.0"
"org.apache.commons.collections4","ComparatorUtilsTest","0.0"
"org.apache.commons.collections4","EnumerationUtilsTest","0.0"
"org.apache.commons.collections4","Mock3","0.0"
"org.apache.commons.collections4","FluentIterableTest","0.4985754985754986"
"org.apache.commons.collections4.functors","AbstractAnyAllOnePredicateTest","0.0"
"org.apache.commons.collections4.functors","AbstractClosureTest","0.0"
"org.apache.commons.collections4.functors","AbstractCompositePredicateTest","0.0"
"org.apache.commons.collections4.functors","AbstractMockPredicateTest","0.6666666666666666"
"org.apache.commons.collections4.functors","AbstractPredicateTest","0.0"
"org.apache.commons.collections4.functors","AllPredicateTest","0.0"
"org.apache.commons.collections4.functors","CatchAndRethrowClosureTest","0.0"
"org.apache.commons.collections4.functors","ComparatorPredicateTest","0.0"
"org.apache.commons.collections4.functors","EqualsTestObject","0.0"
"org.apache.commons.collections4.functors","NullPredicateTest","0.0"
"org.apache.commons.collections4","IterableUtilsTest","0.1471861471861472"
"org.apache.commons.collections4.iterators","AbstractIteratorTest","0.0"
"org.apache.commons.collections4.iterators","AbstractListIteratorTest","0.0"
"org.apache.commons.collections4.iterators","AbstractMapIteratorTest","0.0"
"org.apache.commons.collections4.iterators","AbstractOrderedMapIteratorTest","0.0"
"org.apache.commons.collections4.iterators","ArrayIterator2Test","0.10714285714285714"
"org.apache.commons.collections4.iterators","ArrayIteratorTest","0.06666666666666667"
"org.apache.commons.collections4.iterators","ArrayListIterator2Test","0.0"
"org.apache.commons.collections4.iterators","ArrayListIteratorTest","0.0"
"org.apache.commons.collections4.iterators","BoundedIteratorTest","0.875"
"org.apache.commons.collections4.iterators","CollatingIteratorTest","0.8333333333333334"
"org.apache.commons.collections4.iterators","FilterIteratorTest","0.27472527472527475"
